ID,Name,Age,Gender,Salary,Department,Joining_Date,Performance_Score,Remarks
1,  Alice  ,40,,50000,HR,2019-07-01,,
2,David,20,Male,40000,Finance,,4,Needs Improvement
3,Eva,,,30000,,2020-01-15,1,Good
4,  Alice  ,40,Male,,Marketing,2022-11-11,5,Good
5,Charlie,35,F,,finance,2022-11-11,2,Needs Improvement
6,Eva,35,M,60000,HR,2021-03-20,1,Excellent
7,Eva,35,,80000, it ,2019-07-01,2,Excellent
8,  Alice  ,35,Unknown,40000,Marketing,2020-01-15,100,Excellent
9,Bob,35,Male,30000,HR,2019-07-01,,Needs Improvement
10,Charlie,40,Male,60000,HR,2020-01-15,3,Good
11,  Alice  ,40,,50000,HR,2021-03-20,5,Needs Improvement
12,Charlie,30,Unknown,60000,finance,2021-03-20,,Needs Improvement
13,Charlie,50,Unknown,60000,,2022-11-11,1,Excellent
14,Eva,25,F,40000,finance,2019-07-01,100,Average
15,David,45,F,50000,IT,2022-11-11,100,Good
16,Charlie,35,F,60000,Marketing,2019-07-01,100,Excellent
17,,20,F,30000,,2022-11-11,1,Average
18,Eva,45,F,30000,,,1,Average
19,Bob,40,F,,,,1,
20,David,20,M,50000, it ,,1,Good
21,,20,Unknown,50000,,,100,Average
22,,20,F,,finance,2020-01-15,100,Excellent
23,Bob,30,Unknown,60000,,,2,
24,David,40,Unknown,50000,Finance,2021-03-20,,Good
25,Eva,20,Female,30000,Marketing,2021-03-20,5,Needs Improvement
26,Alice,35,M,30000,,2020-01-15,3,Excellent
27,David,,F,40000,Marketing,,100,Average
28,Bob,20,Male,50000,Finance,,3,Average
29,,30,,60000,Finance,,,Excellent
30,Eva,45,Male,,Marketing,2022-11-11,,Average
31,David,40,M,,HR,2019-07-01,3,
32,Alice,50,,60000,IT,2022-11-11,100,Good
33,Alice,30,M,80000, it ,2019-07-01,3,
34,Charlie,20,Unknown,70000,HR,,2,Average
35,Charlie,40,,40000,HR,,4,Needs Improvement
36,  Alice  ,,Unknown,,finance,2022-11-11,100,Good
37,Bob,20,Male,50000, it ,2022-11-11,100,Good
38,David,30,Male,40000, it ,2019-07-01,5,Excellent
39,David,25,,50000,HR,2021-03-20,1,Excellent
40,  Alice  ,35,,80000,,2019-07-01,4,Needs Improvement
41,,50,F,30000,finance,2022-11-11,,Good
42,,45,M,40000,finance,2022-11-11,100,Needs Improvement
43,  Alice  ,30,F,,Finance,2020-01-15,3,Excellent
44,,40,M,40000, it ,2022-11-11,4,Excellent
45,Charlie,50,F,40000,HR,2020-01-15,5,Good
46,David,50,Unknown,40000,Finance,2021-03-20,,
47,  Alice  ,50,,70000,Marketing,2019-07-01,1,Average
48,David,20,Male,40000,IT,2019-07-01,1,Excellent
49,Alice,35,M,50000,finance,2020-01-15,5,Excellent
50,Charlie,20,M,30000,Marketing,2019-07-01,5,
51,Eva,40,Male,80000,Marketing,2022-11-11,3,
52,Charlie,20,F,60000,,,100,Needs Improvement
53,  Alice  ,25,M,40000,IT,2020-01-15,1,Needs Improvement
54,Eva,35,Unknown,,Marketing,2019-07-01,,Average
55,Alice,35,,40000,Marketing,2020-01-15,4,Average
56,  Alice  ,40,Male,,IT,2020-01-15,,Good
57,Bob,45,,50000,IT,,2,Needs Improvement
58,David,25,M,,Marketing,2022-11-11,2,Excellent
