ID,Name,Age,Gender,Salary,Department,Joining_Date,Performance_Score,Remarks
1,Alice,40,F,50000,HR,2019-07-01,4,Average
2,David,20,M,40000,Finance,2022-11-11,4,Needs Improvement
3,Eva,35,F,30000,Finance,2020-01-15,1,Good
4,Alice,40,M,50000,Marketing,2022-11-11,5,Good
5,Charlie,35,F,50000,Finance,2022-11-11,2,Needs Improvement
6,Eva,35,M,60000,HR,2021-03-20,1,Excellent
7,Eva,35,F,80000,IT,2019-07-01,2,Excellent
9,Bob,35,M,30000,HR,2019-07-01,4,Needs Improvement
10,Charlie,40,M,60000,HR,2020-01-15,3,Good
11,Alice,40,F,50000,HR,2021-03-20,5,Needs Improvement
12,Charlie,30,Unknown,60000,Finance,2021-03-20,4,Needs Improvement
13,Charlie,50,Unknown,60000,Finance,2022-11-11,1,Excellent
17,Alice,20,F,30000,Finance,2022-11-11,1,Average
18,Eva,45,F,30000,Finance,2022-11-11,1,Average
19,Bob,40,F,50000,Finance,2022-11-11,1,Average
20,David,20,M,50000,IT,2022-11-11,1,Good
23,Bob,30,Unknown,60000,Finance,2022-11-11,2,Average
24,David,40,Unknown,50000,Finance,2021-03-20,4,Good
25,Eva,20,F,30000,Marketing,2021-03-20,5,Needs Improvement
26,Alice,35,M,30000,Finance,2020-01-15,3,Excellent
28,Bob,20,M,50000,Finance,2022-11-11,3,Average
29,Alice,30,F,60000,Finance,2022-11-11,4,Excellent
30,Eva,45,M,50000,Marketing,2022-11-11,4,Average
31,David,40,M,50000,HR,2019-07-01,3,Average
33,Alice,30,M,80000,IT,2019-07-01,3,Average
34,Charlie,20,Unknown,70000,HR,2022-11-11,2,Average
35,Charlie,40,F,40000,HR,2022-11-11,4,Needs Improvement
38,David,30,M,40000,IT,2019-07-01,5,Excellent
39,David,25,F,50000,HR,2021-03-20,1,Excellent
40,Alice,35,F,80000,Finance,2019-07-01,4,Needs Improvement
41,Alice,50,F,30000,Finance,2022-11-11,4,Good
43,Alice,30,F,50000,Finance,2020-01-15,3,Excellent
44,Alice,40,M,40000,IT,2022-11-11,4,Excellent
45,Charlie,50,F,40000,HR,2020-01-15,5,Good
46,David,50,Unknown,40000,Finance,2021-03-20,4,Average
47,Alice,50,F,70000,Marketing,2019-07-01,1,Average
48,David,20,M,40000,IT,2019-07-01,1,Excellent
49,Alice,35,M,50000,Finance,2020-01-15,5,Excellent
50,Charlie,20,M,30000,Marketing,2019-07-01,5,Average
51,Eva,40,M,80000,Marketing,2022-11-11,3,Average
53,Alice,25,M,40000,IT,2020-01-15,1,Needs Improvement
54,Eva,35,Unknown,50000,Marketing,2019-07-01,4,Average
55,Alice,35,F,40000,Marketing,2020-01-15,4,Average
56,Alice,40,M,50000,IT,2020-01-15,4,Good
57,Bob,45,F,50000,IT,2022-11-11,2,Needs Improvement
58,David,25,M,50000,Marketing,2022-11-11,2,Excellent
59,Alice,30,M,60000,IT,2020-01-15,5,Needs Improvement
60,David,20,M,30000,Marketing,2019-07-01,3,Excellent
61,Alice,35,Unknown,50000,Marketing,2021-03-20,2,Average
62,Bob,20,F,50000,Finance,2020-01-15,1,Needs Improvement
63,Bob,50,M,30000,HR,2020-01-15,4,Average
64,Alice,20,F,60000,Marketing,2022-11-11,4,Average
65,Bob,30,F,40000,Finance,2022-11-11,5,Average
68,David,25,F,50000,HR,2021-03-20,4,Average
69,David,35,F,30000,HR,2019-07-01,5,Excellent
70,Alice,40,F,50000,HR,2022-11-11,4,Average
72,Alice,35,Unknown,40000,Marketing,2022-11-11,5,Excellent
73,David,50,F,30000,Finance,2022-11-11,5,Average
74,Eva,20,F,80000,Marketing,2022-11-11,5,Average
